commit,build_after,test_after,build_before,test_before,regressions,fixes,new_passes
56e19e28bd098337f57e5b49f45ae14137fd3e72,Success,Success,Success,Success,0,0,1
77313160bfa6ff8d17d90392aa55a1ee7d0267ad,Success,Success,Success,Success,0,0,0
3068341b1dc99ae9cb3f123fbac43121d7fb4994,Success,Success,Success,Success,0,0,4
ea90bdb1836acd73d3df155f44ad2f6e61e9f6eb,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
56e19e28bd098337f57e5b49f45ae14137fd3e72,Success,Success,Success,Success,0,0,1
77313160bfa6ff8d17d90392aa55a1ee7d0267ad,Success,Success,Success,Success,0,0,0
56e19e28bd098337f57e5b49f45ae14137fd3e72,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
77313160bfa6ff8d17d90392aa55a1ee7d0267ad,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
efeaa7694f63c73755b4044d9305003c77a24098,Success,Success,Skipped,Skipped (Only New Tests),0,0,1
2aa011d594ee87cefbae255310afe75afc6a00e1,Success,Success,Success,Success,0,0,3
3068341b1dc99ae9cb3f123fbac43121d7fb4994,Success,Success,Success,Success,0,0,4
0850345d1390dc696a1afbd11ab7a2a8684eeed5,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
a32611c375b33f5a6409a546b725769c972fdf80,Success,Success,Success,Success,0,0,9
7727dffe093564b0e004967387d374db635c250b,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
c0ce37d129b605da91462bf89231a0109aa417d8,Success,Success,Success,Success,0,0,0
5842b3dd17b93131001933751824c43f7789b4b4,Success,Success,Success,Success,0,0,1
26059b7342eaf8e3a035b6b699ee041c76b9cfc8,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
4a9093d8a5e798500a1460a543b299a612a407f2,Success,Success,Skipped,Skipped (Only New Tests),0,0,6
17661318ce30e279774a0af7a265eb596cb76957,Success,Success,Skipped,Skipped (Only New Tests),0,0,1
09a64e625e8bb9d02a368a910b54b4326e36d058,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
e0dac2e855638823a93f0b7d39cb99fed284138d,Success,Success,Success,Success,0,0,3
3053ed2adb0cd0c9aa9ece31cd958fc151b058fb,Success,Success,Skipped,Skipped (Only New Tests),0,0,1
1e858b134fb4a2089b50f7a339f567f1fd7f9471,Success,Success,Success,Success,0,0,4
5b6bef571ee80b78a5641a89cb890094abcca955,Success,Success,Success,Success,0,0,0
b3940507d1f98f6902ff2d1945c2310e56a4a4f4,Success,Success,Skipped,Skipped (Only New Tests),0,0,4
52a6ae0c2ce371923689e141160a7cfc735ea2af,Success,Success,Success,Success,0,0,1
bb9ee7653662afe60f55e9a9b623f272fd310d58,Success,Success,Skipped,Skipped (Only New Tests),0,0,6
1f4e7b320948c86bda0f44a24fa0307f77cb84eb,Success,Success,Skipped,Skipped (Only New Tests),0,0,4
